Title,Year,Director,Runtime,Parental Guide,Rating,Vote,Release Date,Budget,Oscar,Awards
It Ends with Us,2024,Justin Baldoni,2h 10m,PG-13,7.0,11K,"['August 9, 2024 ', 'India)']","$25,000,000",0,0
Kingdom of the Planet of the Apes,2024,Wes Ball,2h 25m,PG-13,7.0,103K,"['May 10, 2024 ', 'India)']","$160,000,000",Awards,3 nominations
Saturday Night,2024,Jason Reitman,1h 49m,,,,"['October 11, 2024 ', 'United States)']",,0,0
The Instigators,2024,Doug Liman,1h 41m,R,6.2,12K,"['August 9, 2024 ', 'India)']",,0,0
A Quiet Place: Day One,2024,Michael Sarnoski,1h 39m,PG-13,6.4,74K,"['June 28, 2024 ', 'India)']","$67,000,000",Awards,1 win & 1 nomination
Rebel Moon: Part One - A Child of Fire,2023,Zack Snyder,2h 13m,PG-13,5.6,127K,"['December 22, 2023 ', 'India)']","$90,000,000",Awards,2 wins & 3 nominations
The Outrun,2024,Nora Fingscheidt,1h 58m,R,7.2,356,"['September 27, 2024 ', 'United Kingdom)']",,Awards,1 nomination
Inside Out 2,2024,Kelsey Mann,1h 36m,Not Rated,7.8,99K,"['June 14, 2024 ', 'India)']","$200,000,000",Awards,2 nominations
Uglies,2024,McG,1h 40m,PG-13,,,"['September 13, 2024 ', 'United States)']",,0,0
Wicked Little Letters,2023,Thea Sharrock,1h 40m,R,7.0,23K,"['February 23, 2024 ', 'United Kingdom)']",,Awards,1 nomination
IF,2024,John Krasinski,1h 44m,PG,6.5,38K,"['May 17, 2024 ', 'India)']","$110,000,000",Awards,2 nominations
The Bikeriders,2023,Jeff Nichols,1h 56m,A,6.8,37K,"['June 21, 2024 ', 'India)']",,Awards,1 win
Logan,2017,James Mangold,2h 17m,A,8.1,853K,"['March 3, 2017 ', 'India)']","$97,000,000",Nominated for 1 Oscar,28 wins & 82 nominations total
The Fall Guy,2024,David Leitch,2h 6m,PG-13,6.9,136K,"['May 3, 2024 ', 'India)']","$125,000,000",Awards,1 win & 9 nominations
Maharaja,2024,Nithilan Saminathan,2h 30m,,8.6,37K,"['June 14, 2024 ', 'India)']",,Awards,2 nominations
Horizon: An American Saga - Chapter 1,2024,Kevin Costner,3h 1m,R,6.8,17K,"['June 28, 2024 ', 'United States)']","$100,000,000",0,0
Kill,2023,Nikhil Nagesh Bhat,1h 45m,R,7.7,18K,"['July 5, 2024 ', 'India)']",,Awards,1 nomination
Oppenheimer,2023,Christopher Nolan,,R,8.3,783K,"['July 21, 2023 ', 'India)']","$100,000,000",Won 7 Oscars,347 wins & 358 nominations total
Dune: Part Two,2024,Denis Villeneuve,2h 46m,PG-13,8.5,497K,"['March 1, 2024 ', 'India)']","$190,000,000",Awards,6 wins & 9 nominations
The Shawshank Redemption,1994,Frank Darabont,2h 22m,A,9.3,2.9M,"['October 14, 1994 ', 'India)']","$25,000,000",Nominated for 7 Oscars,21 wins & 42 nominations total
Rebel Moon - Part Two: The Scargiver,2024,Zack Snyder,2h 2m,PG-13,5.3,51K,"['April 19, 2024 ', 'India)']","$83,000,000",Awards,1 win
Challengers,2024,Luca Guadagnino,2h 11m,R,7.2,89K,"['April 26, 2024 ', 'India)']","$55,000,000",Awards,2 wins & 7 nominations
Gladiator II,2024,Ridley Scott,,,,,"['November 15, 2024 ', 'India)']",,0,0
