listing_id,city,neighbourhood,property_type,total_sqft,no_of_rooms,furnish,sale_type,status,price,price (in 'k'),price_per_sqft
71632357,Chennai,Kelambakkam,Apartment,997,2 BHK,Unfurnished,New Property,Ready to Move,₹ 39.9 Lac,3990,4000
73795355,Chennai,Mudichur,Builder Floor,873,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 50.6 Lac,5060,5800
72552613,Chennai,Kundrathur,Builder Floor,517,1 BHK,Semi-Furnished,New Property,Ready to Move,₹ 27.4 Lac,2740,5300
74193103,Chennai,Chettipunyam,Apartment,616,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 29.2 Lac,2920,4747
73511737,Chennai,Kovur,Apartment,733,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 47.7 Lac,4770,6504
73549773,Chennai,Muthukadu,Apartment,723,1 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 70 Lac,7000,9682
72903823,Chennai,Siruseri,Apartment,911,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 55.2 Lac,5520,6059
74276021,Chennai,Akkarai,Villa,1807,4 BHK,Unfurnished,New Property,Ready to Move,₹ 2.39 Cr,23900,10605
74270959,Chennai,Kovur,Apartment,1024,3 BHK,Unfurnished,New Property,Ready to Move,₹ 63.9 Lac,6390,6243
74334347,Chennai,Nagar,Apartment,622,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 2.40 Cr,24000,15957
73917369,Chennai,Korattur,Apartment,860,2 BHK,Unfurnished,New Property,Ready to Move,₹ 70.8 Lac,7080,6583
74028165,Chennai,Ottiambakkam,Villa,1843,3 BHK,Unfurnished,New Property,Ready to Move,₹ 1.27 Cr,12700,6900
72316429,Chennai,Tondiarpet,Apartment,1272,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 78.9 Lac,7890,6199
74126529,Chennai,Paruthippattu,Apartment,668,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 54.8 Lac,5480,5499
71959151,Chennai,Perungudi,Apartment,1723,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 1.65 Cr,16500,9576
73767909,Chennai,Adambakkam,Apartment,1306,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 1.29 Cr,12900,9900
71820423,Chennai,Perambur,Apartment,1338,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 1.07 Cr,10700,7997
73553015,Chennai,Nagar,Apartment,2982,4 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 5.51 Cr,55100,18500
74127821,Chennai,Thirumullaivoyal,Apartment,578,1 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 27.7 Lac,2770,4799
72561255,Chennai,Medavakkam,Apartment,273,1 BHK,Semi-Furnished,New Property,Ready to Move,₹ 23 Lac,2300,6069
73554597,Chennai,Velachery,Apartment,1540,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 2.33 Cr,23300,15193
73739501,Chennai,Maduravoyal,Apartment,817,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 61.9 Lac,6190,7574
72840197,Chennai,Perumbakkam,Apartment,1221,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 83.8 Lac,8380,6865
73958139,Chennai,Nagar,Builder Floor,790,2 BHK,Unfurnished,New Property,Ready to Move,₹ 1.74 Cr,17400,16880
73970765,Chennai,Valasaravakkam,Apartment,1733,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 1.70 Cr,17000,9810
72805895,Chennai,Medavakkam,Apartment,1012,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 73.9 Lac,7390,7302
73970897,Chennai,Pallikaranai,Apartment,694,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 87 Lac,8700,9405
73968635,Chennai,Karapakkam,Apartment,626,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 46.9 Lac,4690,7495
73390167,Chennai,Medavakkam,Builder Floor,1184,2 BHK,Unfurnished,New Property,Ready to Move,₹ 86 Lac,8600,7264
73469843,Chennai,Chennai,Apartment,885,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 62 Lac,6200,7006
74078091,Chennai,Triplicane,Apartment,1570,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 2.61 Cr,26100,16662
63231003,Chennai,Koil,Plot/Land,1000,n/a,n/a,n/a,n/a,₹ 31 Lac,3100,3100
72152609,Chennai,Sholinganallur,Apartment,1004,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 55 Lac,5500,5478
67219657,Chennai,Pallavaram,Builder Floor,998,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 66.9 Lac,6690,6700
72802387,Chennai,Nagar,Apartment,2144,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 3.53 Cr,35300,16465
64509217,Chennai,Sithalapakkam,Apartment,1370,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 75.2 Lac,7520,5491
74232497,Chennai,Kottivakkam,Apartment,1313,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 1.74 Cr,17400,13252
70267125,Chennai,Chromepet,Builder Floor,1225,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 89.4 Lac,8940,7300
72707609,Chennai,Anakaputhur,Apartment,1145,3 BHK,Unfurnished,New Property,Ready to Move,₹ 67.2 Lac,6720,5870
71135527,Chennai,Nagar,Builder Floor,882,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 1.58 Cr,15800,18000
73544791,Chennai,Thiruporur,Villa,541,1 BHK,Unfurnished,New Property,Ready to Move,₹ 45 Lac,4500,8318
63926391,Chennai,Polachery,Apartment,840,2 BHK,Unfurnished,New Property,Ready to Move,₹ 39.7 Lac,3970,4730
73043817,Chennai,Medavakkam,Apartment,1129,2 BHK,Unfurnished,New Property,Ready to Move,₹ 71.1 Lac,7109,6299
73512721,Chennai,Kanathur,Villa,4050,5 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 2.60 Cr,26000,6420
70420267,Chennai,Madhanandapuram,Apartment,1326,3 BHK,Unfurnished,New Property,Ready to Move,₹ 82.2 Lac,8220,6199
73668979,Chennai,Kelambakkam,Apartment,1301,3 BHK,Unfurnished,New Property,Ready to Move,₹ 51.5 Lac,5150,3955
73868695,Chennai,Hills,Plot/Land,600,n/a,n/a,n/a,n/a,₹ 7.1 Lac,710,1190
73869581,Chennai,Kovur,Builder Floor,992,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 54.6 Lac,5460,5499
71395691,Chennai,Thiruverkadu,Plot/Land,1019,n/a,n/a,n/a,n/a,₹ 56 Lac,5600,5499
70515605,Chennai,Thirumudivakkam,Apartment,1649,3 BHK,Unfurnished,New Property,Ready to Move,₹ 85 Lac,8500,5155
74022453,Chennai,Palur,Plot/Land,1099,n/a,n/a,n/a,n/a,₹ 33 Lac,3300,3000
68658865,Chennai,Thirumazhisai,Plot/Land,1651,n/a,n/a,n/a,n/a,₹ 59.4 Lac,5940,3600
73483659,Chennai,Vandalur,Plot/Land,708,n/a,n/a,n/a,n/a,₹ 42.5 Lac,4250,6000
73990049,Chennai,Tambaram,Apartment,1072,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 85.7 Lac,8570,7990
73388633,Chennai,Chennai,Apartment,910,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 60 Lac,6000,6593
66270841,Chennai,Vettuvankeni,Villa,2805,4 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 5.34 Cr,53400,15000
69949829,Chennai,Porur,Apartment,1179,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 88.4 Lac,8840,7500
74126103,Chennai,Sholinganallur,Villa,1354,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 1.24 Cr,12400,9204
69836007,Chennai,Ambattur,Villa,2547,5 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 1.83 Cr,18300,7185
67277811,Chennai,Ayanambakkam,Builder Floor,1652,3 BHK,Unfurnished,New Property,Ready to Move,₹ 98.3 Lac,9830,5950
73570957,Chennai,Thirumazhisai,Apartment,766,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 53.3 Lac,5330,5000
71691667,Chennai,Siruseri,Villa,1895,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 1.47 Cr,14700,7757
73648389,Chennai,Thirumazhisai,Plot/Land,1200,n/a,n/a,n/a,n/a,₹ 46.7 Lac,4670,3888
72184237,Chennai,Kuvathur,Plot/Land,718,n/a,n/a,n/a,n/a,₹ 9.3 Lac,930,1299
72810891,Chennai,Road,Builder Floor,750,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 61.9 Lac,6190,7054
73546487,Chennai,Manapakkam,Apartment,1159,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 2.06 Cr,20600,12500
69140857,Chennai,Perungudi,Builder Floor,780,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 67.2 Lac,6720,7000
72384783,Chennai,Kattupakkam,Apartment,983,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 72 Lac,7200,6159
72976379,Chennai,Thirumazhisai,Apartment,575,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 35 Lac,3500,6087
72980605,Chennai,Thaiyur,Plot/Land,1000,n/a,n/a,n/a,n/a,₹ 26 Lac,2600,2599
72707697,Chennai,Pallikaranai,Villa,1884,4 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 2 Cr,20000,7965
