Listing ID,Title,Description,Price,Sq Ft Price,Summary
cardid71632357,2 BHK Apartment for Sale in Kelambakkam Chennai,"Located in Kelambakkam, OMR, Incor PBEL City is an upcoming housing project, that offers 2BHK and 3BHK flats. It is developed by Incor Infrastructure to facilitate both, undisturbed private moments and exuberant camaraderie of its residents. PBEL City is lavishly designed with modern techniques and features with the best of industry specifications.",₹ 39.9 Lac,"₹4,000 per sqft",SUPER AREA 997 sqft STATUS Ready to Move TRANSACTION New Property FURNISHING Unfurnished CAR PARKING 1 Covered BATHROOM 2
cardid73795355,2 BHK Builder Floor for Sale in Mudichur Chennai,"Premium Apartment located in vibrant surroundings that fit right into your budget, located next to Tambaram near to Urapakkam new bus stand on Mudichur Tambaram main road. Has supreme connectivity to GST road, Oragadam road and outer ring road. it has very close access to schools, colleges well known educational institutions. good transportation facilities near by markets and other entertainments. Apartments are designed in a very spacious, vasthu compliant with natural light and Breeze.",₹ 50.6 Lac,"₹5,800 per sqft",SUPER AREA 873 sqft UNDER CONSTRUCTION Poss. by Sep '24 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 2
cardid72552613,1 BHK Builder Floor for Sale in Kundrathur Chennai,"Karthick Amore is the project where you can discover the epitome of city living at affordable prices. The homes in the project has spacious rooms and is constructed with 100% red bricks. Karthick Amore is located near top rated matriculation, CBSE and ICSE schools. Hospitals, Temples, Cricket grounds are all situated within 1Km Radius from the project.",₹ 27.4 Lac,"₹5,300 per sqft",SUPER AREA 517 sqft STATUS Ready to Move FLOOR Ground out of 2 TRANSACTION New Property FURNISHING Semi-Furnished BATHROOM 1
cardid74193103,2 BHK Apartment for Sale in Chettipunyam Chennai,"Strategically located - Right opposite to Mahindra World City, which is home to 67 companies & one lakh employeesTuscany apartments offer you with the best of possibilities - Urban Connectivity & Suburban Tranquility.",₹ 29.2 Lac,"₹4,747 per sqft",SUPER AREA 616 sqft UNDER CONSTRUCTION Poss. by Apr '25 TRANSACTION New Property FURNISHING Unfurnished CAR PARKING 1 Covered BATHROOM 1
cardid73511737,2 BHK Apartment for Sale in Kovur Chennai,"Jain Advaya is a project by Jain Housing & Constructions Ltd in Chennai. It is a Under Construction project. Jain Advaya offers some of the most conveniently designed Apartment. Located in Kovur, it is a residential project. It has 122 units. There is 1 building in this project. Jain Advaya offers some of the most exclusive 2 BHK, 3 BHK. As per the area plan, units are in the size range of 733.0 - 1274.0 sq.ft.. Launched in December 2023, Jain Advaya is slated for possession in Dec, 2025. The address of Jain Advaya is Kovur.",₹ 47.7 Lac,"₹6,504 per sqft",SUPER AREA 733 sqft UNDER CONSTRUCTION Poss. by Dec '24 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 2
cardid73549773,1 BHK Apartment for Sale in Muthukadu Chennai,"Welcome to VRX Terrace, a hidden gem nestled along the picturesque East Coast Road, where modern comfort meets tranquility. Situated conveniently beside the scenic Coromandel Coast, VRX Terrace offers the perfect sanctuary away from the hustle and bustle of city life. Offering studio, 1BHK, and 2BHK options, VRX Terrace caters to various living preferences. Imagine waking up to the serene beauty of the coastline, just a stone's throw away from Mayajaal and opposite the renowned MGM. And if you have little ones, you'll appreciate being within a kilometer of five esteemed educational institutions. Need healthcare? No worries, we've got you covered with four premier healthcare facilities just a short drive away.",₹ 70 Lac,"₹9,682 per sqft",SUPER AREA 723 sqft UNDER CONSTRUCTION Poss. by Apr '26 TRANSACTION New Property FURNISHING Furnished CAR PARKING 1 Covered BATHROOM 1
cardid72903823,2 BHK Apartment for Sale in Siruseri Chennai,Urbanrise The World of Joy is constructed in an alluring green environment spread over 10.13 acres of land these aspirational Siruseri flats constructed with the latest MIVAN technology are all about living life king size.,₹ 55.2 Lac,"₹6,059 per sqft",SUPER AREA 911 sqft UNDER CONSTRUCTION Poss. by Dec '26 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 2
cardid74276021,4 BHK Villa for Sale in Akkarai Chennai,"4 BHK here comes one of the choicest offerings in Chennai South, at Akkarai. Brought to you by NU Prestige Home, Serenity Garden Villas is among the newest addresses for homebuyers. There are villas for sale in Serenity Garden Villas. This is an under-construction project right now",₹ 2.39 Cr,"₹10,605 per sqft",CARPET AREA 1807 sqft STATUS Ready to Move TRANSACTION New Property FURNISHING Unfurnished BATHROOM 4
cardid74270959,3 BHK Apartment for Sale in Kovur Chennai,"""Shri Harithams Appurva in Kovur, Chennai West is a ready-to-move housing society. This project is a perfect combination of comfort and styleKovur is a mid segment locality situated in the western part of Chennai. The pincode of this locality is 600128. This locality is near Mangadu, Melma Nagar,Mangadu and Pattur. This locality has 100+ properties to buy and 5+ properties to rent. The residents of Kovur rated this locality at 3.6/5 in terms of connectivity, whereas for safety, they rated it 3.7/5.",₹ 63.9 Lac,"₹6,243 per sqft",SUPER AREA 1024 sqft STATUS Ready to Move TRANSACTION New Property FURNISHING Unfurnished CAR PARKING 1 Covered BATHROOM 2
cardid74334347,3 BHK Apartment for Sale in Besant Nagar Chennai,"Prepare to embark on a journey like no other! Mbessy62 with 8 elegant homes across 4 levels, this extraordinary haven promises to transport you to a realm where magic meets reality, weaving together the best of two distinct worlds. Find your cove of peace and pride at Mbessy62 - a marvel for a majestic life, where every floor nests just two cozy homes, garnering ample sunshine and sea breeze from around into your home.Adorned with unrivalled specifications, the troves each measuring 1504 sqft are designed to embrace the true essence of fine living",₹ 2.40 Cr,"₹15,957 per sqft",CARPET AREA 622 sqft UNDER CONSTRUCTION Poss. by Aug '25 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 3
cardid73917369,2 BHK Apartment for Sale in Korattur Chennai,"For those looking to buy a residential property, here comes one of the choicest offerings in Chennai North, at Korattur. Brought to you by Vaikund Estates, Vaikund's Darshan is among the newest addresses for homebuyers.",₹ 70.8 Lac,"₹6,583 per sqft",CARPET AREA 860 sqft STATUS Ready to Move TRANSACTION New Property FURNISHING Unfurnished BATHROOM 2
cardid74028165,3 BHK Villa for Sale in Ottiambakkam Chennai,"Live a life presented with the best of amenities - greener landscapes, cleverer designing, superior connectivity, or a refined lifestyle, only at Jones Cassia 2. A life that many long for, but only a lucky few will experience. All villas in this residential township are designed to indulge you in the most authentic luxury living. The well-constructed layout, airy spaces, enclosed terraces, and balconies make sure that there's an abundance of fresh air and natural light to brighten up your life.",₹ 1.27 Cr,"₹6,900 per sqft",SUPER AREA 1843 sqft STATUS Ready to Move TRANSACTION New Property FURNISHING Unfurnished BATHROOM 3
